Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Winner,HREMONTADA,AREMONTADA,Referee
E0,11/08/2023,20:00,Burnley,Man City,0,3,A,0,2,A,Man City,0,0,C Pawson
E0,12/08/2023,12:30,Arsenal,Nott'm Forest,2,1,H,2,0,H,Arsenal,0,0,M Oliver
E0,12/08/2023,15:00,Bournemouth,West Ham,1,1,D,0,0,D,Draw,0,0,P Bankes
E0,12/08/2023,15:00,Brighton,Luton,4,1,H,1,0,H,Brighton,0,0,D Coote
E0,12/08/2023,15:00,Everton,Fulham,0,1,A,0,0,D,Fulham,0,0,S Attwell
E0,12/08/2023,15:00,Sheffield United,Crystal Palace,0,1,A,0,0,D,Crystal Palace,0,0,J Brooks
E0,12/08/2023,17:30,Newcastle,Aston Villa,5,1,H,2,1,H,Newcastle,0,0,A Madley
E0,13/08/2023,14:00,Brentford,Tottenham,2,2,D,2,2,D,Draw,0,0,R Jones
E0,13/08/2023,16:30,Chelsea,Liverpool,1,1,D,1,1,D,Draw,0,0,A Taylor
E0,14/08/2023,20:00,Man United,Wolves,1,0,H,0,0,D,Man United,0,0,S Hooper
E0,18/08/2023,19:45,Nott'm Forest,Sheffield United,2,1,H,1,0,H,Nott'm Forest,0,0,P Bankes
E0,19/08/2023,15:00,Fulham,Brentford,0,3,A,0,1,A,Brentford,0,0,D Bond
E0,19/08/2023,15:00,Liverpool,Bournemouth,3,1,H,2,1,H,Liverpool,0,0,T Bramall
E0,19/08/2023,15:00,Wolves,Brighton,1,4,A,0,1,A,Brighton,0,0,A Madley
E0,19/08/2023,17:30,Tottenham,Man United,2,0,H,0,0,D,Tottenham,0,0,M Oliver
E0,19/08/2023,20:00,Man City,Newcastle,1,0,H,1,0,H,Man City,0,0,R Jones
E0,20/08/2023,14:00,Aston Villa,Everton,4,0,H,2,0,H,Aston Villa,0,0,A Taylor
E0,20/08/2023,16:30,West Ham,Chelsea,3,1,H,1,1,D,West Ham,0,0,J Brooks
