	Team	Minutes	Goals	Assists	Penalty Shoot on Goal	Penalty Shoot	Total Shoot	Shoot on Target	Yellow Cards	Red Cards	Touches	Dribbles	Tackles	Blocks	Shot-Creating Actions	Goal-Creating Actions	Passes Completed	Passes Attempted	Pass Completion %	Progressive Passes	Carries	Progressive Carries	Dribble Attempts	Successful Dribbles	Div	Date	Time	HomeTeam	AwayTeam	FTHG	FTAG	FTR	HTHG	HTAG	HTR	HREMONTADA	AREMONTADA	Referee	NB_MATCHES_PLAYED	NB_VICTORIES	PERCENTAGE_OF_VICTORIES
0	Man United	990	1	1	0	0	14	5	2	0	640	21	19	11	24	2	430	524	1338	43	420	15	21	8	24	24	24	24	24	24	24	24	24	24	24	24	24	24	56.0	24	0.42857142857142855
1	Fulham	990	0	0	0	0	10	2	3	0	540	24	9	9	19	0	329	424	1162	28	329	17	22	8	20	20	20	20	20	20	20	20	20	20	20	20	20	20	57.0	20	0.3508771929824561
2	Liverpool	990	2	1	0	0	18	5	1	0	720	9	5	14	29	4	520	620	1239	39	407	25	23	11	38	38	38	38	38	38	38	38	38	38	38	38	38	38	56.0	38	0.6785714285714286
3	Newcastle	990	1	1	0	0	14	5	2	0	658	21	4	10	26	2	428	552	1245	45	388	19	15	6	26	26	26	26	26	26	26	26	26	26	26	26	26	26	56.0	26	0.4642857142857143
4	Nott'm Forest	990	1	0	0	0	14	8	1	0	677	24	7	12	26	1	420	543	1241	37	299	18	23	9	20	20	20	20	20	20	20	20	20	20	20	20	20	20	57.0	20	0.3508771929824561
5	Bournemouth	990	1	0	0	0	13	4	3	0	628	18	14	13	24	2	363	485	1148	49	327	18	20	5	21	21	21	21	21	21	21	21	21	21	21	21	21	21	57.0	21	0.3684210526315789
6	Everton	990	2	1	0	0	6	2	4	0	380	24	6	7	11	3	203	272	1095	16	161	14	22	7	16	16	16	16	16	16	16	16	16	16	16	16	16	16	56.0	16	0.2857142857142857
7	Brighton	990	3	3	0	0	10	5	1	0	711	21	8	11	19	5	510	605	1279	38	456	18	18	6	18	18	18	18	18	18	18	18	18	18	18	18	18	18	56.0	18	0.32142857142857145
8	Arsenal	990	2	2	0	0	18	6	2	0	569	18	8	6	35	4	382	458	1172	53	340	18	22	9	38	38	38	38	38	38	38	38	38	38	38	38	38	38	56.0	38	0.6785714285714286
9	Wolves	990	0	0	0	0	9	3	2	0	493	19	7	13	13	0	324	406	1268	24	306	12	18	8	17	17	17	17	17	17	17	17	17	17	17	17	17	17	57.0	17	0.2982456140350877
10	West Ham	990	1	0	1	1	13	2	1	0	571	14	6	14	26	2	377	464	1260	30	327	20	11	4	20	20	20	20	20	20	20	20	20	20	20	20	20	20	57.0	20	0.3508771929824561
11	Aston Villa	990	2	2	0	0	15	3	2	0	561	24	7	13	23	3	348	433	1285	25	310	23	15	8	28	28	28	28	28	28	28	28	28	28	28	28	28	28	56.0	28	0.5
12	Brentford	990	2	1	0	0	9	5	1	0	542	19	11	13	15	3	331	440	1134	31	318	16	16	5	17	17	17	17	17	17	17	17	17	17	17	17	17	17	56.0	17	0.30357142857142855
13	Crystal Palace	990	0	0	0	0	14	6	5	0	640	22	5	10	23	0	410	519	1267	32	316	14	18	3	17	17	17	17	17	17	17	17	17	17	17	17	17	17	57.0	17	0.2982456140350877
14	Chelsea	990	0	0	0	0	10	3	1	0	629	20	10	10	20	0	461	531	1283	26	370	16	11	4	28	28	28	28	28	28	28	28	28	28	28	28	28	28	56.0	28	0.5
15	Man City	990	2	1	0	0	11	5	1	0	664	16	10	6	19	3	501	570	989	32	385	41	30	15	37	37	37	37	37	37	37	37	37	37	37	37	37	37	57.0	37	0.6491228070175439
16	Tottenham	990	1	1	0	0	15	6	1	0	840	23	6	8	30	2	631	724	1438	69	465	24	26	13	27	27	27	27	27	27	27	27	27	27	27	27	27	27	57.0	27	0.47368421052631576
